Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8055358410220014,0.8418481490092743,0.6572327044025157,0.5588235294117647,0.6040462427745665,0.4790341208187829
Decision Tree,0.7679205110007097,0.786198300136919,0.5669515669515669,0.5320855614973262,0.5489655172413793,0.39330076368575173
KNN,0.7636621717530163,0.7897349453615438,0.5526992287917738,0.5748663101604278,0.5635648754914809,0.4017529219968404
Gaussian Naive Bayes,0.694819020581973,0.807419463173939,0.45894428152492667,0.8368983957219251,0.5928030303030303,0.4244518964900018
Random Forest,0.8019872249822569,0.8423234906610865,0.673992673992674,0.4919786096256685,0.5687789799072644,0.4535748590407708
